variant,time_s,height_env_mean_m
direct_mlp,0.01,0.3193528614938259
direct_mlp,0.060000000000000005,0.30687805265188217
direct_mlp,0.11,0.28893493115901947
direct_mlp,0.16,0.27491118758916855
direct_mlp,0.21,0.2691236101090908
direct_mlp,0.26,0.2735056206583977
direct_mlp,0.31,0.28074682131409645
direct_mlp,0.36,0.28587909042835236
direct_mlp,0.41,0.2865986041724682
direct_mlp,0.46,0.28223516792058945
direct_mlp,0.51,0.27279915288090706
direct_mlp,0.56,0.2574755474925041
direct_mlp,0.61,0.24896607920527458
direct_mlp,0.66,0.24745194613933563
direct_mlp,0.71,0.24857907555997372
direct_mlp,0.76,0.24738658592104912
direct_mlp,0.81,0.24609479680657387
direct_mlp,0.86,0.24363357201218605
direct_mlp,0.91,0.2412735316902399
direct_mlp,0.96,0.24031350761651993
direct_mlp,1.01,0.2401431854814291
direct_mlp,1.06,0.2405286617577076
direct_mlp,1.11,0.24123649299144745
direct_mlp,1.16,0.2419124897569418
direct_mlp,1.21,0.2423699777573347
direct_mlp,1.26,0.24255339615046978
direct_mlp,1.31,0.2425090167671442
direct_mlp,1.36,0.24233314767479897
direct_mlp,1.41,0.24212503246963024
direct_mlp,1.46,0.24195632338523865
direct_mlp,1.51,0.2418623548001051
direct_mlp,1.56,0.24184534139931202
direct_mlp,1.61,0.24188257567584515
direct_mlp,1.66,0.24194387160241604
direct_mlp,1.71,0.24200348556041718
direct_mlp,1.76,0.24204459972679615
direct_mlp,1.81,0.24206163175404072
direct_mlp,1.86,0.24205749668180943
direct_mlp,1.91,0.24204150959849358
direct_mlp,1.96,0.24202311038970947
direct_mlp,2.0100000000000002,0.24200941808521748
direct_mlp,2.06,0.2420038003474474
direct_mlp,2.1100000000000003,0.2420054879039526
direct_mlp,2.16,0.2420101184397936
direct_mlp,2.2100000000000004,0.2420145906507969
direct_mlp,2.2600000000000002,0.24201678484678268
direct_mlp,2.31,0.24201658181846142
direct_mlp,2.3600000000000003,0.24201475270092487
direct_mlp,2.41,0.24201222881674767
direct_mlp,2.4600000000000004,0.24201003089547157
direct_mlp,2.5100000000000002,0.24200869165360928
direct_mlp,2.56,0.2420093920081854
direct_mlp,2.6100000000000003,0.24201106652617455
direct_mlp,2.66,0.24201265536248684
direct_mlp,2.7100000000000004,0.24201339855790138
direct_mlp,2.7600000000000002,0.2420144248753786
direct_mlp,2.81,0.2420150227844715
direct_mlp,2.8600000000000003,0.24201513640582561
direct_mlp,2.91,0.24201464280486107
direct_mlp,2.9600000000000004,0.24201401136815548
direct_mlp,3.0100000000000002,0.24201299622654915
direct_mlp,3.0600000000000005,0.24201158806681633
direct_mlp,3.1100000000000003,0.2420101910829544
direct_mlp,3.16,0.24200867861509323
direct_mlp,3.2100000000000004,0.24200790002942085
direct_mlp,3.2600000000000002,0.2420084085315466
direct_mlp,3.3100000000000005,0.24200976639986038
direct_mlp,3.3600000000000003,0.24201140366494656
direct_mlp,3.41,0.24201307445764542
direct_mlp,3.4600000000000004,0.24201364628970623
direct_mlp,3.5100000000000002,0.2420133538544178
direct_mlp,3.5600000000000005,0.24201245233416557
direct_mlp,3.6100000000000003,0.2420122716575861
direct_mlp,3.66,0.24201250821352005
direct_mlp,3.7100000000000004,0.24201329983770847
direct_mlp,3.7600000000000002,0.24201439321041107
direct_mlp,3.8100000000000005,0.24201519787311554
direct_mlp,3.8600000000000003,0.24201511591672897
direct_mlp,3.91,0.24201485142111778
direct_mlp,3.9600000000000004,0.24201437644660473
direct_mlp,4.010000000000001,0.2420137505978346
direct_mlp,4.0600000000000005,0.2420124802738428
direct_mlp,4.11,0.2420105990022421
direct_mlp,4.16,0.2420092187821865
direct_mlp,4.21,0.24200998060405254
direct_mlp,4.260000000000001,0.24201245792210102
direct_mlp,4.3100000000000005,0.24201496504247189
direct_mlp,4.36,0.24201536923646927
direct_mlp,4.41,0.24201465025544167
direct_mlp,4.46,0.2420143373310566
direct_mlp,4.510000000000001,0.24201472662389278
direct_mlp,4.5600000000000005,0.2420159187167883
direct_mlp,4.61,0.24201717972755432
direct_mlp,4.66,0.24201807752251625
direct_mlp,4.71,0.24201896227896214
direct_mlp,4.760000000000001,0.24201885983347893
direct_mlp,4.8100000000000005,0.24201772548258305
direct_mlp,4.86,0.2420167401432991
direct_mlp,4.91,0.24201613292098045
direct_mlp,4.96,0.24201575852930546
