variant,training_seed,scenario,evaluation_seed,height_command_m,height_signed_bias_mm,height_within_episode_std_mm,vx_signed_error_m_s,wz_signed_error_rad_s,height_full_interval_mae_mm,planar_speed_full_interval_m_s,tilt_full_interval_rad,nonwheel_netforce_full_interval_N,vx_full_interval_mae_m_s,wz_full_interval_mae_rad_s,terminated_count,truncated_count,done_count,steady_coverage,steady_samples,steady_segments,short_segments,short_retained_samples,reward_mean_diagnostic,leg_target_derivative_rms_rad_s,wheel_target_derivative_rms_rad_s2,leg_effort_derivative_rms_Nm_s,wheel_effort_derivative_rms_Nm_s
last_token_attention,1011,stand_low,301,0.28,-1.1994645906495278,0.03710175235390864,0.003372332524251531,-0.03488607036186411,1.5597829688340425,0.01206805758237897,0.29796382118342446,48.32476411151886,0.00720720255848937,0.05052229076993899,0,8,8,0.8995,14392,8,8,0,0.046122783091384914,0.03719127540715254,0.2782985333722867,4.048251581321804,2.494622119336168
last_token_attention,1011,stand_mid,301,0.3,-21.11411583363977,0.03979860314029684,0.0033906800929840893,-0.03474558668029652,21.097142592072487,0.012015916440432192,0.29727844982559326,48.47180148077011,0.007222247209383568,0.05034742670206015,0,8,8,0.8995,14392,8,8,0,0.03850300842977595,0.03491032765892903,0.26204954643581013,3.769134959603489,2.381411392165358
last_token_attention,1011,stand_high,301,0.32,-40.938070568858144,0.06933358745446441,0.002854582407019514,-0.02660824419838556,40.691369615495205,0.010214131307424395,0.29568863076972773,48.68225420153141,0.006751821405274313,0.042965794017587544,0,8,8,0.8995,14392,8,8,0,0.02958785344287753,0.030454558315892274,0.23036731031205018,3.1315963386234658,2.1068485852279344
last_token_attention,1011,forward,301,0.3,-20.629105111040488,0.01671413247314525,-0.4991011329827669,-0.008159766248660941,20.628841284662485,0.00705961353618477,0.2812536303820671,48.592898258566855,0.5015151016209275,0.025294172195965758,0,8,8,0.8995,14392,8,8,0,0.026546818555740172,0.027406112334731128,0.2620755476097647,2.2549182502931866,2.2425933593748586
last_token_attention,1011,reverse,301,0.3,-21.269222794969338,0.05597557916802397,0.5028816784249036,-0.030604515751702654,21.217992335557938,0.012119241280386632,0.30684608305059374,48.671143243551256,0.5001188142318278,0.047804851663558114,0,8,8,0.8995,14392,8,8,0,0.025618503632606007,0.07191271100627651,0.4231273959896226,6.923308512703055,4.886615651360958
last_token_attention,1011,turn_left,301,0.3,-20.493059903134768,0.09968679633686675,-0.00027255968465525433,-1.0001458989051464,20.465799432247877,0.007026173114908488,0.30766047025244914,48.9787805866003,0.0048467254589986625,1.0083572935722769,0,8,8,0.8995,14392,8,8,0,0.029005277203512377,0.035593989738899254,0.3532708373829021,2.5063080833962936,2.4759380359551133
last_token_attention,1011,turn_right,301,0.3,-22.13948871267377,0.28229054514643026,0.0029847284054641426,0.9693415811106252,22.077591128647327,0.01152707402864644,0.288498961223755,48.04102647089958,0.007102917975519859,0.9690668758153915,0,8,8,0.8995,14392,8,8,0,0.02859015755681321,0.06116454129914141,0.4595460740558156,5.882961589562655,4.657778875700748
last_token_attention,1022,stand_low,301,0.28,-94.46752611330278,0.038806055321266054,-0.004279007970169991,0.0005760826201667612,93.98201654944569,0.006395783633292012,0.07078100905945757,54.16755448067188,0.0052253064754040675,0.003827957077179235,0,8,8,0.8995,14392,8,8,0,0.029784185860829895,0.00549280615220268,0.02171743228016283,0.7131043699923458,0.17094448440421128
last_token_attention,1022,stand_mid,301,0.3,-114.49068291977319,0.03867217090845376,-0.004083215537989284,0.000955522189604212,113.8619002038613,0.006053668101543735,0.06935545538505539,52.49350389319658,0.005031028585046443,0.0041730179229798525,0,8,8,0.8995,14392,8,8,0,0.02980269182380289,0.004474975288587463,0.01845722298553695,0.5621718405545659,0.1270784509722352
last_token_attention,1022,stand_high,301,0.32,-134.33296648705758,0.036133731033430296,-0.004216468591623726,0.0007392153352764966,133.6309995027259,0.006231030758492124,0.06991230128775351,54.3180571359396,0.005149593011563411,0.0039289549221570045,0,8,8,0.8995,14392,8,8,0,0.029785516327654478,0.004782875001290611,0.018765077664419868,0.6502130814115051,0.1504662117975519
