stage,variant,train_seed,height,status,metric,value,n,mean,sample_std
stage-b,baseline,22,,completed,optimization.actual_optimizer_steps,92,,,
stage-b,baseline,22,,completed,optimization.planned_optimizer_steps,640,,,
stage-b,baseline,22,,completed,optimization.early_stopped_updates,80,,,
stage-b,baseline,22,,completed,optimization.first_update.actor_loss,0.009765847586095333,,,
stage-b,baseline,22,,completed,optimization.first_update.value_loss,0.010457458905875683,,,
stage-b,baseline,22,,completed,optimization.first_update.entropy,-1.1429965496063232,,,
stage-b,baseline,22,,completed,optimization.first_update.kl,0.0,,,
stage-b,baseline,22,,completed,optimization.first_update.clip_fraction,0.0,,,
stage-b,baseline,22,,completed,optimization.first_update.loss,0.025938289240002632,,,
stage-b,baseline,22,,completed,optimization.first_update.auxiliary_loss,0.0,,,
stage-b,baseline,22,,completed,optimization.first_update.auxiliary_coef,0.0,,,
stage-b,baseline,22,,completed,optimization.first_update.grad_norm,1.7726689577102661,,,
stage-b,baseline,22,,completed,optimization.first_update.optimizer_steps,1,,,
stage-b,baseline,22,,completed,optimization.first_update.planned_optimizer_steps,8,,,
stage-b,baseline,22,,completed,optimization.first_update.sample_count,4096,,,
stage-b,baseline,22,,completed,optimization.first_update.early_stopped,True,,,
stage-b,baseline,22,,completed,optimization.first_update.stop_kl,0.08976577967405319,,,
stage-b,baseline,22,,completed,optimization.first_update.initial_mean_abs,0.5161109620149773,,,
stage-b,baseline,22,,completed,optimization.first_update.initial_std_mean,0.20000000298023224,,,
stage-b,baseline,22,,completed,optimization.first_update.initial_std_min,0.20000000298023224,,,
stage-b,baseline,22,,completed,optimization.first_update.initial_std_max,0.20000000298023224,,,
stage-b,baseline,22,,completed,optimization.first_update.first_step_kl,0.08981883608197253,,,
stage-b,baseline,22,,completed,optimization.first_update.first_step_mean_kl,0.08981877605309657,,,
stage-b,baseline,22,,completed,optimization.first_update.first_step_std_kl,6.002887595551e-08,,,
stage-b,baseline,22,,completed,optimization.first_update.first_step_mean_change_rms,0.03460641806896185,,,
stage-b,baseline,22,,completed,optimization.first_update.first_step_normalized_mean_change_rms,0.17303208776643023,,,
stage-b,baseline,22,,completed,optimization.first_update.final_kl,0.08981883608197253,,,
stage-b,baseline,22,,completed,optimization.first_update.final_mean_kl,0.08981877605309657,,,
stage-b,baseline,22,,completed,optimization.first_update.final_std_kl,6.002887595551e-08,,,
stage-b,baseline,22,,completed,optimization.first_update.final_mean_change_rms,0.03460641806896185,,,
stage-b,baseline,22,,completed,optimization.first_update.final_std_mean,0.19999999552965164,,,
stage-b,baseline,22,,completed,optimization.last_update.actor_loss,-0.01256442628800869,,,
stage-b,baseline,22,,completed,optimization.last_update.value_loss,0.005910963751375675,,,
stage-b,baseline,22,,completed,optimization.last_update.entropy,-1.134211778640747,,,
stage-b,baseline,22,,completed,optimization.last_update.kl,0.0,,,
stage-b,baseline,22,,completed,optimization.last_update.clip_fraction,0.0,,,
stage-b,baseline,22,,completed,optimization.last_update.loss,-0.0009824037551879883,,,
stage-b,baseline,22,,completed,optimization.last_update.auxiliary_loss,0.0,,,
stage-b,baseline,22,,completed,optimization.last_update.auxiliary_coef,0.0,,,
stage-b,baseline,22,,completed,optimization.last_update.grad_norm,2.00864577293396,,,
stage-b,baseline,22,,completed,optimization.last_update.optimizer_steps,1,,,
