variant,group,status,updates_completed,optimizer_steps,collected_transitions,train_elapsed_s,collection_transitions_per_second,sampled_train_rss_peak_mib,vx_abs_error,wz_abs_error,height_abs_error,planar_speed,non_wheel_net_force
time_attention,architecture,completed,20,20,327680,169.91254492900043,4672.175163495091,4736.484375,0.08018927179401847,0.15221226032517735,0.09098460149640838,0.09519721645548998,52.7809193833669
index_attention,architecture,completed,20,20,327680,165.23315336499945,4683.086682458379,4729.24609375,0.04322780372533392,0.16488339316934192,0.08061969566469392,0.06857909388580083,46.49587429205577
gated_attention,architecture,completed,20,116,327680,167.41189677099464,4740.2250375882495,4766.58984375,0.05781477842421737,0.09300345371516111,0.05022096070150534,0.08068546989622215,26.531330196857454
supervised_attention,supervision,completed,20,20,327680,171.345226112011,4561.88306639787,4729.02734375,0.08735630081656079,0.18993341270368547,0.09267666875074307,0.10412769688448559,74.56235425233841
history_mlp,architecture,completed,20,120,327680,158.80932377099816,5001.965417881115,4712.95703125,0.03823036043565026,0.07525677410386077,0.035332270512978235,0.05081773332073681,36.215355337460835
history_gru,architecture,completed,20,160,327680,162.34694806799234,4892.978516732408,4691.75,0.032338939422067295,0.10359815661266111,0.051305289367834725,0.05341332924127831,37.34786424398422
